Kinase	BRAF_druginhibition_175_GSE42872	BRAF_druginhibition_38_GDS5085	FGFR3_druginhibition_36_GDS5023	ERBB3_knockdown_65_GSE19921	BRAF_knockdown_193_GSE5481	AURKA_druginhibition_196_GSE57810	HUNK_knockout_240_GSE14226	TGFBR2_knockout_293_GSE46211	TGFBR2_knockout_292_GSE46150	TGFBR2_knockout_295_GSE45968	TGFBR2_knockout_296_GSE22989	PDK1_knockout_265_GSE42187	TRIM28_knockout_302_GSE32224	TRIM28_knockout_303_GSE32224	RAF1_activemutant_219_GSE42964	CDK4_knockdown_225_GSE8866	IGF1R_druginhibition_46_GSE14024	IRAK4_defectivemutant_200_GSE6789	RET_knockout_270_GSE32093	GSK3A_knockdown_201_GDS4305	GSK3B_knockdown_202_GDS4305
CHUK	6.7147122908035985	6.7147122908035985	17.616078196653593	9.459634001560541	4.377223821196947	6.53518969962405	7.838500350822618	5.0745279189417625	9.004057360364808	10.18399966550111	6.903146254757285	5.844416075997878	4.381489087603262	2.6462098465313826	13.345669920560127	6.256826142722314	NA	2.650343799118542	9.790266704888845	1.9053622268401738	7.657685683348837
GSK3A	6.582477009215722	6.582477009215722	4.953294952735932	5.703038140567642	0.8908194645833778	4.312183222802167	8.135964008432191	9.410837485753687	7.498363610341445	10.141334228584105	4.532860451029476	8.031074418984634	5.759114546762211	11.769396800228222	5.516902127996684	8.810109233194778	2.2196966060773824	3.8962205121472353	3.693357142937711	9.582283441418516	10.308984174483014
PRKCA	6.536625801191111	6.536625801191111	9.130747393518273	10.006096757336081	4.28755376594906	12.64486537924126	14.900243263262082	14.490521620587721	10.759906373908812	11.203371163441355	4.32075604731269	13.139690123690146	6.588975182769149	5.146548599190453	12.263517616532832	14.717858113833874	0.45800438313173913	6.7808398660301	7.039489084343001	16.237028183764995	15.396016988953237
IKBKB	6.47014779587916	6.47014779587916	9.586314479611666	3.818063316066232	9.84000156454664	10.408359781905853	5.704914072489282	2.8246205897388394	3.5860304917268	0.7462688966912554	3.0916773759222145	1.3289223052734167	0.9208765488664149	2.548279489437541	5.201708026190583	4.445681084972973	1.6923096025395559	3.960846622004201	6.992965343161635	1.8160915315018045	3.924403384390138
CAM-KIV	6.409672033965247	6.409672033965247	3.126615292386295	2.7025555905478917	NA	NA	2.7666739475311815	3.654786445857633	5.794246261221052	3.1766128063509167	2.976777479939695	2.7448037595542285	7.367460427481117	NA	5.833546750190629	2.475153637221168	NA	NA	NA	6.668848115046928	2.73405934398368
PIM1	6.380491912820404	6.380491912820404	7.109477607792492	3.6385515241621857	8.102759368367492	2.3602985242127525	5.744301673899496	3.742042725119929	9.421574685526373	7.303021137766594	2.4992197624944925	3.751369364051022	1.338936333632053	NA	11.867369723718939	4.680622816364282	NA	7.78147534977326	3.588951367833991	2.652988061321408	7.730329354033683
NIK	6.127854210429033	6.127854210429033	2.976111736265022	2.5540549755703195	2.6629193676273966	6.048978753431148	2.617811115331965	3.5027479183452064	2.4849031925570073	3.0259258576428234	2.826883655062654	2.596061762600468	3.2563868682561354	3.347497423080148	5.553767014587952	2.3281529749475016	NA	5.740834557181665	NA	2.9135437263778283	2.585377728606157
MAP3K7	6.066162334454387	6.066162334454387	13.81758672892289	5.035171454525403	2.46295479409802	2.667442893577597	3.7322898219188643	1.0421241893431217	6.350961720897902	9.369340665656265	1.5364019134281028	1.198760513781193	6.016653534837586	NA	8.234035461766569	5.530073160063896	NA	5.218087070383697	0.9772695944460331	4.757505211470105	5.171410787226835
TGFBR1	5.952710450420768	5.952710450420768	4.477935599976337	3.336097329999588	5.492316423088706	3.8510510478011093	1.9421581896742304	NA	1.7257534258799243	NA	0.8831356476983298	3.4464857122379486	NA	NA	4.910977462647982	4.282630746500383	NA	3.4464857122379486	NA	NA	0.7012117140830836
PKD1	5.8959802705319575	5.8959802705319575	6.614926754410078	5.037551828939719	1.9912619839403574	5.750851506617801	1.9165786264452822	1.4356362969637624	4.787304800075465	4.573939406279541	4.024531008072223	1.8808415601494768	7.703135806989729	1.29988081450208	13.362222487515329	4.23014151664644	NA	7.182405443212002	8.359812565043214	4.26203388873431	3.378192973177635
