score,n_g2n_nodes,n_sig_kinase,kinase
9.004018009042335,109,80,RAF1
5.320010828897745,86,81,RET
1,65,75,ROCK1
1,114,109,ROCK2
6.472021394694746,69,94,RPS6KA3
1,95,81,SNRK
1,117,107,SRC
2.1522328623262625,115,93,STK11
1,95,64,STK33
1,75,93,SYK
2.587201524447452,148,101,TBK1
1,77,88,TEK
1,86,59,TGFBR1
7.842334940783601,48,47,TGFBR2
1,103,81,TNIK
1,25,24,TYK2
1,68,89,ULK1
1.671974822974737,123,82,VRK1
8.870567475678458,94,70,WEE1
6.38869733874991,45,43,ABL1
5.736597633843557,69,90,AKT1
1,64,52,AKT2
7.750537104434916,139,93,ATM
1.8232618029146714,61,59,ATR
1,66,63,BMPR1A
1,52,100,BRAF
4.1695876414823525,113,136,BTK
1.7878440273978136,77,88,CDC7
1,81,71,CDK10
1,71,70,CDK19
7.389890685992183,74,88,CDK2
25.93096478016158,97,89,CDK4
1.5136787857498941,67,62,CDK5
7.601149857166008,42,52,CDK6
8.251827299668395,87,72,CDK7
1.326548319539768,65,67,CDK8
12.84581677467289,140,109,CDK9
2.1005313835183346,83,69,CHEK1
2.523723826017157,78,60,CHEK2
1,41,47,DDR1
1,156,101,EGFR
3.105371147608073,96,111,ERBB2
1,96,97,ERBB3
1,74,101,FGFR1
2.222127732200119,84,68,FGFR3
1,68,96,FLT1
1,127,100,FLT4
6.440539670118817,92,77,GSK3A
21.19225298294081,106,105,GSK3B
1.468865092386526,137,125,HIPK1
1,86,50,IGF1R
1,52,61,IKBKB
2.4995179350656893,86,63,IKBKE
1,139,126,ILK
1.816494571105539,115,127,IRAK1
1,61,67,IRAK2
1,96,65,JAK1
5.3384186449114726,110,83,JAK2
1,82,79,KDR
3.4233537142970545,65,59,KIT
1.9960605166131533,155,125,LRRK2
2.7319849888429553,111,85,MAP2K1
1.9314535964959558,79,84,MAP2K4
1,49,79,MAP3K1
19.347515806489856,192,111,MAPK1
9.961138067642903,44,86,MAPK14
7.456063903464779,57,56,MELK
1,107,113,MET
1,59,107,MYLK
1,157,127,PDGFRA
1.5397819532767467,163,131,PDK1
1,66,73,PIK3CA
1,70,71,PIK3CG
1,85,90,PLK1
1,56,77,PLK2
